56,14,59,9,11,0.6,\n
85,58,117,33,47,1.4,\n
85,62,100,13,33,1.488,\n
77,34,102,21,32,0.963,\n
72,35,91,14,31,1.063,\n
146,111,184,90,48,1.563,\n
63,23,73,19,34,0.9,\n
54,18,55,23,10,0.688,\n
62,32,72,51,38,1.425,\n
68,28,84,32,44,1.113,\n
104,54,129,65,35,1.413,\n
89,51,126,62,50,1.475,\n
119,73,159,53,36,1.575,\n
95,43,109,19,28,1.025,\n
240,189,249,69,56,2.063,\n
186,140,241,93,67,1.988,\n
67,46,82,12,22,0.857,\n
88,65,102,14,32,1.113,\n
91,67,125,38,29,1.225,\n
89,66,116,42,24,1.287,\n
93,69,124,28,28,1.357,\n
74,53,95,18,26,1.288,\n
91,67,114,36,23,1.213,\n
44,21,43,10,30,1.2,\n
35,14,31,9,23,0.929,\n
46,30,45,6,40,1.363,\n
40,19,39,7,26,0.825,\n
35,13,26,4,35,0.825,\n
39,22,30,10,18,0.886,\n
135,102,155,39,46,1.625,\n
84,55,116,26,30,1.65,\n
